Dimension;Algorithm;Cost;Time[ms]
12;BB_LC;88;15.438
12;BB_LC;88;5.856
12;BB_BFS;165;30703.353
12;BB_BFS;165;9.153
12;BB_DFS_REC;165;7.936
12;BB_DFS_REC;165;6.003
12;BB_LC;165;1523.778
12;BB_LC;165;280.788
12;BB_BFS;163;30579.646
12;BB_BFS;163;21.471
12;BB_DFS_REC;163;35.420
12;BB_DFS_REC;163;13.415
12;BB_LC;163;2705.986
12;BB_LC;163;1540.415
12;BB_BFS;155;30944.461
12;BB_BFS;155;20.494
12;BB_DFS_REC;155;12.932
12;BB_DFS_REC;155;8.140
12;BB_LC;155;1919.024
12;BB_LC;155;891.962
12;BB_BFS;158;31004.483
12;BB_BFS;158;100.137
12;BB_DFS_REC;158;11.964
12;BB_DFS_REC;158;9.718
12;BB_LC;158;2514.761
12;BB_LC;158;2342.628
7;BB_BFS;194;0.362
7;BB_BFS;194;0.130
7;BB_DFS_REC;194;0.069
7;BB_DFS_REC;194;0.076
7;BB_LC;194;0.266
7;BB_LC;194;0.204
7;BB_BFS;163;0.344
7;BB_BFS;163;0.067
7;BB_DFS_REC;163;0.049
7;BB_DFS_REC;163;0.054
7;BB_LC;163;0.198
7;BB_LC;163;0.099
7;BB_BFS;274;0.351
7;BB_BFS;274;0.198
7;BB_DFS_REC;274;0.110
7;BB_DFS_REC;274;0.114
7;BB_LC;274;0.500
7;BB_LC;274;0.295
7;BB_BFS;209;0.347
7;BB_BFS;209;0.158
7;BB_DFS_REC;209;0.076
7;BB_DFS_REC;209;0.243
7;BB_LC;209;0.235
7;BB_LC;209;0.190
7;BB_BFS;113;0.343
7;BB_BFS;113;0.043
7;BB_DFS_REC;113;0.035
7;BB_DFS_REC;113;0.037
7;BB_LC;113;0.062
7;BB_LC;113;0.055
8;BB_BFS;126;2.286
8;BB_BFS;126;0.117
8;BB_DFS_REC;126;0.137
8;BB_DFS_REC;126;0.159
8;BB_LC;126;0.374
8;BB_LC;126;0.217
8;BB_BFS;164;2.240
8;BB_BFS;164;0.159
8;BB_DFS_REC;164;0.214
8;BB_DFS_REC;164;0.198
8;BB_LC;164;0.533
8;BB_LC;164;0.307
8;BB_BFS;137;2.174
8;BB_BFS;137;0.186
8;BB_DFS_REC;137;0.208
8;BB_DFS_REC;137;0.147
8;BB_LC;137;1.014
8;BB_LC;137;0.384
8;BB_BFS;153;2.229
8;BB_BFS;153;0.339
8;BB_DFS_REC;153;0.438
8;BB_DFS_REC;153;0.132
8;BB_LC;153;0.317
8;BB_LC;153;0.583
8;BB_BFS;141;2.553
8;BB_BFS;141;0.219
8;BB_DFS_REC;141;0.571
8;BB_DFS_REC;141;0.172
8;BB_LC;141;0.773
8;BB_LC;141;0.495
9;BB_BFS;197;31.172
9;BB_BFS;197;1.501
9;BB_DFS_REC;197;0.626
9;BB_DFS_REC;197;0.906
9;BB_LC;197;7.009
9;BB_LC;197;6.012
9;BB_BFS;139;23.156
9;BB_BFS;139;0.724
9;BB_DFS_REC;139;0.616
9;BB_DFS_REC;139;0.533
9;BB_LC;139;4.184
9;BB_LC;139;2.885
9;BB_BFS;142;23.193
9;BB_BFS;142;1.341
9;BB_DFS_REC;142;0.662
9;BB_DFS_REC;142;0.579
9;BB_LC;142;4.972
9;BB_LC;142;4.056
9;BB_BFS;166;23.384
9;BB_BFS;166;0.647
9;BB_DFS_REC;166;0.665
9;BB_DFS_REC;166;0.431
9;BB_LC;166;2.862
9;BB_LC;166;1.937
9;BB_BFS;201;23.075
9;BB_BFS;201;1.498
9;BB_DFS_REC;201;1.075
9;BB_DFS_REC;201;0.855
9;BB_LC;201;11.779
9;BB_LC;201;8.527
10;BB_BFS;217;219.065
10;BB_BFS;217;3.748
10;BB_DFS_REC;217;2.612
10;BB_DFS_REC;217;2.127
10;BB_LC;217;95.682
10;BB_LC;217;66.226
10;BB_BFS;171;215.143
10;BB_BFS;171;1.250
10;BB_DFS_REC;171;2.120
10;BB_DFS_REC;171;1.068
10;BB_LC;171;41.491
10;BB_LC;171;10.374
10;BB_BFS;272;220.312
10;BB_BFS;272;7.234
10;BB_DFS_REC;272;8.396
10;BB_DFS_REC;272;9.081
10;BB_LC;272;293.723
10;BB_LC;272;238.205
10;BB_BFS;164;218.112
10;BB_BFS;164;1.805
10;BB_DFS_REC;164;2.214
10;BB_DFS_REC;164;1.593
10;BB_LC;164;53.156
10;BB_LC;164;10.792
10;BB_BFS;170;219.171
10;BB_BFS;170;3.058
10;BB_DFS_REC;170;3.585
10;BB_DFS_REC;170;2.615
10;BB_LC;170;171.361
10;BB_LC;170;56.499
11;BB_BFS;137;2360.268
11;BB_BFS;137;1.330
11;BB_DFS_REC;137;1.726
11;BB_DFS_REC;137;0.976
11;BB_LC;137;77.312
11;BB_LC;137;9.652
11;BB_BFS;153;2374.027
11;BB_BFS;153;2.457
11;BB_DFS_REC;153;1.493
11;BB_DFS_REC;153;1.642
11;BB_LC;153;150.455
11;BB_LC;153;22.820
11;BB_BFS;181;2361.686
11;BB_BFS;181;14.962
11;BB_DFS_REC;181;10.065
11;BB_DFS_REC;181;8.079
11;BB_LC;181;1784.805
11;BB_LC;181;785.083
11;BB_BFS;163;2200.088
11;BB_BFS;163;14.295
11;BB_DFS_REC;163;7.327
11;BB_DFS_REC;163;5.761
11;BB_LC;163;664.810
11;BB_LC;163;431.943
11;BB_BFS;177;2333.651
11;BB_BFS;177;9.825
11;BB_DFS_REC;177;8.760
11;BB_DFS_REC;177;5.451
11;BB_LC;177;847.992
11;BB_LC;177;316.353
12;BB_BFS;183;39522.065
12;BB_BFS;183;574.285
12;BB_DFS_REC;183;151.106
12;BB_DFS_REC;183;142.664
12;BB_LC;183;895660.444
12;BB_LC;183;800767.645
12;BB_BFS;272;31107.694
12;BB_BFS;272;298.931
12;BB_DFS_REC;272;88.291
12;BB_DFS_REC;272;87.371
12;BB_BFS;196;30760.480
12;BB_BFS;196;22.846
12;BB_DFS_REC;196;14.881
12;BB_DFS_REC;196;12.419
12;BB_LC;196;3557.050
12;BB_LC;196;2036.007
12;BB_BFS;232;30961.653
12;BB_BFS;232;136.892
12;BB_DFS_REC;232;35.432
12;BB_DFS_REC;232;24.273
12;BB_LC;232;43573.109
12;BB_LC;232;36896.172
12;BB_BFS;188;33636.252
12;BB_BFS;188;20.857
12;BB_DFS_REC;188;18.300
12;BB_DFS_REC;188;14.780
12;BB_LC;188;22973.774
12;BB_LC;188;2698.401
9;BB_DFS_REC;154;0.618
9;BB_DFS_REC;154;0.408
9;BB_LC;154;1.603
9;BB_LC;154;0.733
9;BB_BFS;196;24.115
9;BB_BFS;196;0.693
9;BB_DFS_REC;196;0.483
9;BB_DFS_REC;196;0.380
9;BB_LC;196;6.625
9;BB_LC;196;3.297
9;BB_BFS;118;26.008
9;BB_BFS;118;0.117
9;BB_DFS_REC;118;0.237
9;BB_DFS_REC;118;0.101
9;BB_LC;118;0.436
9;BB_LC;118;0.191
10;BB_BFS;201;245.470
10;BB_BFS;201;2.900
10;BB_DFS_REC;201;1.035
10;BB_DFS_REC;201;0.944
10;BB_LC;201;91.259
10;BB_LC;201;26.628
10;BB_BFS;149;270.752
10;BB_BFS;149;0.532
10;BB_DFS_REC;149;1.113
